,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Akron Pros,8.0,0.0,3.0,1.0,151.0,7.0,144.0,13.1,7.3,20.4,6.7,13.8
1,Decatur Staleys,10.0,1.0,2.0,0.909,164.0,21.0,143.0,11.0,-0.3,10.7,0.7,10.0
2,Chicago Cardinals,6.0,2.0,2.0,0.75,115.0,43.0,72.0,7.2,-1.9,5.3,1.3,4.0
3,Rock Island Independents,6.0,2.0,2.0,0.75,201.0,49.0,152.0,15.2,-20.2,-5.0,-5.6,0.5
4,Dayton Triangles,5.0,2.0,2.0,0.714,150.0,54.0,96.0,10.7,-0.5,10.2,7.0,3.2
5,Rochester Jeffersons,6.0,3.0,2.0,0.667,156.0,57.0,99.0,9.0,-19.3,-10.3,-12.6,2.4
6,Canton Bulldogs,7.0,4.0,2.0,0.636,208.0,57.0,151.0,11.6,6.6,18.2,8.7,9.5
7,Detroit Heralds,2.0,3.0,3.0,0.4,53.0,82.0,-29.0,-3.6,-0.8,-4.4,-5.3,0.9
8,Cleveland Tigers,2.0,4.0,2.0,0.333,28.0,46.0,-18.0,-2.3,11.4,9.2,-1.6,10.8
9,Chicago Tigers,2.0,5.0,1.0,0.286,49.0,63.0,-14.0,-1.8,-2.5,-4.3,-3.2,-1.1
10,Hammond Pros,2.0,5.0,0.0,0.286,41.0,154.0,-113.0,-16.1,1.8,-14.4,2.2,-16.6
11,Columbus Panhandles,2.0,6.0,2.0,0.25,41.0,121.0,-80.0,-8.0,6.6,-1.4,2.6,-4.0
12,Muncie Flyers,0.0,1.0,0.0,0.0,0.0,45.0,-45.0,-45.0,5.6,-39.4,-4.2,-35.1
