,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,8,4,.667,310,213,97,8.1,0.7,8.7,4.8,3.9
1,New York Giants,7,5,.583,234,231,3,0.3,-1.1,-0.8,-2.9,2.1
2,Philadelphia Eagles,7,5,.583,252,271,-19,-1.6,-0.8,-2.4,-1.3,-1.1
3,Pittsburgh Steelers,5,7,.417,300,273,27,2.3,1.9,4.1,5.0,-0.9
4,Chicago Cardinals,4,8,.333,172,221,-49,-4.1,0.0,-4.1,-8.5,4.4
5,Washington Redskins,4,8,.333,240,287,-47,-3.9,1.1,-2.8,-0.8,-2.0
6,Detroit Lions,9,3,.750,344,192,152,12.7,-1.4,11.3,4.3,6.9
7,Los Angeles Rams,9,3,.750,349,234,115,9.6,-0.8,8.7,5.4,3.3
8,San Francisco 49ers,7,5,.583,285,221,64,5.3,-0.9,4.4,-0.1,4.5
9,Green Bay Packers,6,6,.500,295,312,-17,-1.4,-0.9,-2.3,1.4,-3.7
10,Chicago Bears,5,7,.417,245,326,-81,-6.8,0.0,-6.8,-1.3,-5.5
11,Dallas Texans,1,11,.083,182,427,-245,-20.4,2.4,-18.0,-6.0,-12.0
