,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,10,3,1,.769,445,239,206,14.7,-4.0,10.7,7.0,3.7
1,Cleveland Browns,9,5,0,.643,403,259,144,10.3,-2.7,7.6,4.9,2.7
2,Philadelphia Eagles,9,5,0,.643,326,340,-14,-1.0,-2.0,-3.0,-0.8,-2.2
3,St. Louis Cardinals,8,5,1,.615,264,265,-1,-0.1,-2.3,-2.3,-5.7,3.4
4,Washington Redskins,7,7,0,.500,351,355,-4,-0.3,-1.8,-2.0,1.7,-3.8
5,Pittsburgh Steelers,5,8,1,.385,316,347,-31,-2.2,-2.3,-4.5,-1.2,-3.3
6,Atlanta Falcons,3,11,0,.214,204,437,-233,-16.6,1.1,-15.5,-6.5,-9.0
7,New York Giants,1,12,1,.077,263,501,-238,-17.0,0.2,-16.8,-3.0,-13.7
8,Green Bay Packers,12,2,0,.857,335,163,172,12.3,1.2,13.5,3.5,10.0
9,Baltimore Colts,9,5,0,.643,314,226,88,6.3,1.4,7.6,2.2,5.5
10,Los Angeles Rams,8,6,0,.571,289,212,77,5.5,0.5,6.0,-0.5,6.5
11,San Francisco 49ers,6,6,2,.500,320,325,-5,-0.4,2.1,1.8,3.8,-2.0
12,Chicago Bears,5,7,2,.417,234,272,-38,-2.7,2.5,-0.3,-2.6,2.3
13,Detroit Lions,4,9,1,.308,206,317,-111,-7.9,3.0,-4.9,-4.7,-0.3
14,Minnesota Vikings,4,9,1,.308,292,304,-12,-0.9,3.0,2.2,1.9,0.3
