,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Jets,10,4,0,.714,353,269,84,6.0,-2.0,4.0,3.2,0.8
1,Houston Oilers,6,6,2,.500,278,279,-1,-0.1,-1.1,-1.2,-2.1,0.9
2,Buffalo Bills,4,10,0,.286,230,359,-129,-9.2,0.9,-8.3,-4.0,-4.4
3,Boston Patriots,4,10,0,.286,266,316,-50,-3.6,-0.5,-4.0,-2.2,-1.8
4,Miami Dolphins,3,10,1,.231,233,332,-99,-7.1,0.4,-6.6,-4.4,-2.2
5,Oakland Raiders,12,1,1,.923,377,242,135,9.6,-0.6,9.0,5.6,3.4
6,Kansas City Chiefs,11,3,0,.786,359,177,182,13.0,-1.1,11.9,3.5,8.4
7,San Diego Chargers,8,6,0,.571,288,276,12,0.9,0.7,1.5,-0.5,2.0
8,Denver Broncos,5,8,1,.385,297,344,-47,-3.4,1.4,-2.0,1.0,-3.0
9,Cincinnati Bengals,4,9,1,.308,280,367,-87,-6.2,2.0,-4.2,0.0,-4.2
